tsne-2d-one,tsne-2d-two,CustomerStatus
20.940872,-11.533866,0
-4.1596103,29.597162,0
-15.917246,-2.3732514,0
-13.690456,11.034005,0
-25.181044,-16.408815,0
-22.922886,-5.3871145,0
-2.2001266,4.8826675,0
17.550875,-12.455818,1
10.915398,-5.0198627,0
8.146757,31.987738,0
11.540942,7.3512764,0
-10.951455,-15.190816,0
-11.300987,17.991611,0
9.811591,-8.109194,0
9.966659,-9.517422,0
8.963088,31.95429,0
-7.573186,26.913363,0
-22.788279,-6.0610375,0
17.780764,1.9877666,1
38.134914,2.0542216,0
-15.35788,14.12691,0
-29.508694,-15.184834,0
-32.33055,-4.479419,0
16.311035,25.761475,0
11.508726,32.08831,0
-20.54245,-12.575404,0
17.04072,-6.1379924,0
15.8316345,-3.660998,0
